"시점",사망자수(명),조사망률(천명당),기대수명(출생시 기대여명),기대수명(출생시 기대여명) - 남,기대수명(출생시 기대여명) - 여
"1997",244693,5.3,74.7,70.7,78.7
"1998",245825,5.2,75.1,71.2,79.0
"1999",247734,5.3,75.5,71.8,79.2
"2000",248740,5.2,76.0,72.3,79.7
"2001",243813,5.1,76.5,72.9,80.1
"2002",247524,5.1,76.8,73.4,80.3
"2003",246463,5.1,77.3,73.8,80.8
"2004",246220,5.1,77.8,74.3,81.2
"2005",245874,5.1,78.2,74.9,81.6
"2006",244162,5.0,78.8,75.4,82.1
"2007",246482,5.0,79.2,75.9,82.5
"2008",246113,5.0,79.6,76.2,83.0
"2009",246942,5.0,80.0,76.7,83.4
"2010",255405,5.1,80.2,76.8,83.6
"2011",257396,5.1,80.6,77.3,84.0
"2012",267221,5.3,80.9,77.6,84.2
"2013",266257,5.3,81.4,78.1,84.6
"2014",267692,5.3,81.8,78.6,85.0
"2015",275895,5.4,82.1,79.0,85.2
"2016",280827,5.5,82.4,79.3,85.4
"2017",285534,5.6,82.7,79.7,85.7
"2018",298820,5.8,82.7,79.7,85.7
"2019",295110,5.7,83.3,80.3,86.3
"2020",304948,5.9,83.5,80.5,86.5
"2021 p)",317800,6.2,-,-,-
