"시점",전국,전국,전국,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,세종특별자치시,세종특별자치시,경기도,경기도,경기도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
"시점",계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명),계 (명),남자 (명),여자 (명)
"1997",675394,350929,324465,142724,73520,69204,46284,24320,21964,35219,18557,16662,38103,19692,18411,21684,11192,10492,20480,10549,9931,18273,9685,8588,,,,143002,74200,68802,19821,10205,9616,21103,10840,10263,24551,12714,11837,26270,13614,12656,28080,14444,13636,37117,19653,17464,44138,23295,20843,8545,4449,4096
"1998",641594,336147,305447,134604,69822,64782,43200,22872,20328,32231,17323,14908,35541,18502,17039,20796,10788,10008,19294,10115,9179,16697,8949,7748,,,,137066,71417,65649,19421,10137,9284,20151,10473,9678,24472,12842,11630,25849,13434,12415,26841,14064,12777,34914,18607,16307,42427,22498,19929,8090,4304,3786
"1999",620668,324409,296259,128120,66452,61668,41237,21677,19560,31308,16620,14688,34323,17959,16364,19244,10015,9229,18729,9756,8973,15740,8397,7343,,,,134335,69987,64348,19143,9974,9169,19434,10132,9302,24045,12614,11431,24564,12706,11858,26363,13778,12585,34843,18477,16366,41184,21634,19550,8056,4231,3825
"2000",640089,335433,304656,133154,69406,63748,41222,21833,19389,32477,17250,15227,34433,17918,16515,21148,11063,10085,19570,10122,9448,15816,8377,7439,,,,141704,74021,67683,19482,10237,9245,19628,10386,9242,24733,12948,11785,25173,13068,12105,26046,13598,12448,35190,18701,16489,41680,22084,19596,8633,4421,4212
"2001",559934,291989,267945,114764,59476,55288,35848,18808,17040,28111,14799,13312,30494,15864,14630,18198,9476,8722,17290,8984,8306,13600,7293,6307,,,,126264,65517,60747,16873,8888,7985,17322,9058,8264,21962,11358,10604,22192,11446,10746,22588,11752,10836,30500,16093,14407,36475,19254,17221,7453,3923,3530
"2002",496911,260228,236683,102008,53105,48903,30767,15975,14792,24260,12972,11288,26775,13843,12932,16036,8403,7633,15631,8288,7343,11666,6194,5472,,,,116854,60856,55998,15314,7924,7390,15329,8000,7329,19059,10038,9021,19215,10086,9129,19242,10018,9224,26022,13891,12131,32203,17096,15107,6530,3539,2991
"2003",495036,257727,237309,101227,52191,49036,30117,15750,14367,24513,12970,11543,26832,13814,13018,15954,8418,7536,15712,8143,7569,11720,6282,5438,,,,120433,62403,58030,14349,7424,6925,14650,7635,7015,18627,9684,8943,18437,9490,8947,18333,9600,8733,25447,13389,12058,32102,17076,15026,6583,3458,3125
"2004",476958,247835,229123,99828,51453,48375,28231,14535,13696,23259,12201,11058,25092,12963,12129,14729,7633,7096,15024,7842,7182,11151,5933,5218,,,,117812,60853,56959,13776,7211,6565,14331,7486,6845,18640,9682,8958,17257,8881,8376,17256,9066,8190,23553,12477,11076,30922,16395,14527,6097,3224,2873
"2005",438707,227592,211115,90468,46679,43789,25681,13289,12392,20804,10928,9876,23026,11885,11141,13327,6971,6356,13950,7226,6724,10469,5563,4906,,,,109533,56554,52979,12657,6564,6093,13164,6830,6334,17521,9020,8501,15745,8290,7455,15818,8110,7708,22339,11731,10608,28471,14909,13562,5734,3043,2691
"2006",451759,234110,217649,93922,48520,45402,25881,13323,12558,20360,10635,9725,23711,12233,11478,13679,7161,6518,14489,7591,6898,10740,5669,5071,,,,115111,59525,55586,12455,6503,5952,13366,6836,6530,18625,9645,8980,15571,8012,7559,15905,8162,7743,22567,11850,10717,29524,15379,14145,5853,3066,2787
"2007",496822,255872,240950,101249,52139,49110,28426,14643,13783,22295,11471,10824,26712,13744,12968,14810,7691,7119,15780,8053,7727,11955,6178,5777,,,,126648,64943,61705,13690,7123,6567,15002,7734,7268,20630,10659,9971,17228,8906,8322,17844,9245,8599,25062,12939,12123,33313,17230,16083,6178,3174,3004
"2008",465892,240119,225773,94736,48826,45910,26670,13606,13064,20562,10715,9847,25365,13028,12337,13890,7073,6817,14856,7673,7183,11365,5937,5428,,,,119397,61380,58017,12373,6313,6060,14064,7317,6747,19749,10138,9611,15878,8245,7633,16363,8435,7928,23538,12238,11300,31493,16311,15182,5593,2884,2709
"2009",444849,229351,215498,89594,45963,43631,25110,12952,12158,19399,10159,9240,24379,12619,11760,13101,6738,6363,13915,7197,6718,11033,5740,5293,,,,113692,58376,55316,12112,6245,5867,13903,7197,6706,19257,9883,9374,15233,7847,7386,15995,8186,7809,22373,11707,10666,30320,15717,14603,5433,2825,2608
"2010",470171,242901,227270,93266,48121,45145,27415,14156,13259,20557,10703,9854,25752,13295,12457,13979,7269,6710,14314,7387,6927,11432,5948,5484,,,,121753,62728,59025,12477,6431,6046,14670,7577,7093,20242,10439,9803,16100,8357,7743,16654,8609,8045,23700,12262,11438,32203,16690,15513,5657,2929,2728
"2011",471265,242121,229144,91526,46853,44673,27759,14092,13667,20758,10679,10079,26118,13471,12647,13916,7187,6729,14808,7657,7151,11542,5948,5594,,,,122027,62732,59295,12408,6419,5989,14804,7598,7206,20398,10567,9831,16175,8290,7885,16612,8448,8164,24250,12502,11748,32536,16787,15749,5628,2891,2737
"2012",484550,248958,235592,93914,48353,45561,28673,14759,13914,21472,10987,10485,27781,14206,13575,14392,7449,6943,15279,7843,7436,12160,6245,5915,1054,543,511,124746,64072,60674,12426,6329,6097,15139,7752,7387,20448,10409,10039,16238,8457,7781,16990,8600,8390,24635,12758,11877,33211,17150,16061,5992,3046,2946
"2013",436455,223883,212572,84066,43181,40885,25831,13337,12494,19340,9824,9516,25560,13017,12543,12729,6529,6200,14099,7159,6940,11330,5742,5588,1111,545,566,112129,57574,54555,10980,5670,5310,13658,6950,6708,18628,9579,9049,14555,7506,7049,15401,7819,7582,22206,11538,10668,29504,15208,14296,5328,2705,2623
"2014",435435,223356,212079,83711,42899,40812,26190,13549,12641,19361,9893,9468,25786,13306,12480,12729,6539,6190,13962,7257,6705,11556,5927,5629,1344,691,653,112169,57186,54983,10662,5444,5218,13366,6767,6599,18200,9305,8895,14231,7340,6891,14817,7533,7284,22062,11437,10625,29763,15451,14312,5526,2832,2694
"2015",438420,224906,213514,83005,42370,40635,26645,13752,12893,19438,10041,9397,25491,13193,12298,12441,6428,6013,13774,7143,6631,11732,6045,5687,2708,1418,1290,113495,58062,55433,10929,5515,5414,13563,6887,6676,18604,9598,9006,14087,7225,6862,15061,7725,7336,22310,11453,10857,29537,15135,14402,5600,2916,2684
"2016",406243,208064,198179,75536,38744,36792,24906,12740,12166,18298,9311,8987,23609,12005,11604,11580,5868,5712,12436,6417,6019,10910,5643,5267,3297,1691,1606,105643,54070,51573,10058,5143,4915,12742,6561,6181,17302,8776,8526,12698,6531,6167,13980,7141,6839,20616,10654,9962,27138,13915,13223,5494,2854,2640
"2017",357771,184308,173463,65389,33485,31904,21480,11069,10411,15946,8263,7683,20445,10578,9867,10120,5266,4854,10851,5588,5263,9381,4879,4502,3504,1744,1760,94088,48531,45557,8958,4628,4330,11394,5830,5564,15670,8033,7637,11348,5780,5568,12354,6439,5915,17957,9253,8704,23849,12331,11518,5037,2611,2426
"2018",326822,167686,159136,58074,30137,27937,19152,9840,9312,14400,7289,7111,20087,10286,9801,9105,4706,4399,9337,4759,4578,8149,4179,3970,3703,1921,1782,88175,45112,43063,8351,4216,4135,10586,5442,5144,14380,7280,7100,10001,5091,4910,11238,5740,5498,16079,8385,7694,21224,10860,10364,4781,2443,2338
"2019",302676,155416,147260,53673,27811,25862,17049,8735,8314,13233,6906,6327,18522,9607,8915,8364,4208,4156,8410,4267,4143,7539,3840,3699,3819,1924,1895,83198,42737,40461,8283,4257,4026,9333,4838,4495,13228,6773,6455,8971,4589,4382,10832,5517,5315,14472,7371,7101,19250,9764,9486,4500,2272,2228
"2020",272337,139362,132975,47445,24344,23101,15058,7770,7288,11193,5734,5459,16040,8261,7779,7318,3667,3651,7481,3913,3568,6617,3294,3323,3468,1750,1718,77737,39623,38114,7835,3957,3878,8607,4432,4175,11950,6173,5777,8165,4137,4028,9738,4979,4759,12873,6573,6300,16823,8665,8158,3989,2090,1899
"2021",260562,133516,127046,45531,23436,22095,14446,7436,7010,10661,5545,5116,14947,7643,7304,7956,4063,3893,7414,3851,3563,6127,3176,2951,3570,1790,1780,76139,38857,37282,7357,3750,3607,8190,4134,4056,10984,5688,5296,7475,3836,3639,8430,4252,4178,12045,6105,5940,15562,8038,7524,3728,1916,1812
